date,trades,volume_usd,gross_pnl,fees,net_pnl
2024-03-13,7,6000.799999999999,0.0,2.100278,-2.100278
2024-03-14,18,205933.18,3465.865832,11.716792,3454.14904
2024-03-15,62,351894.41,6236.513651,49.485003,6187.0286479999995
2024-03-16,8,37223.66,228.57984,10.52828,218.05156
2024-03-17,23,99506.95,503.293955,33.763329,469.5306259999999
2024-03-18,19,90458.08,1456.9577,24.943279999999998,1432.01442
2024-03-19,24,219884.84,668.797973,25.988312,642.809661
2024-03-20,69,215705.85,6423.134599,39.878838,6383.255760999999
2024-03-21,28,117895.57,2335.5080749999997,16.394750000000002,2319.1133250000003
2024-03-24,19,92592.20999999999,1297.018477,8.888837,1288.12964
2024-03-25,7,57116.32,1302.916428,19.990712,1282.925716
2024-03-26,118,198565.19,3215.906593,28.147402999999997,3187.7591899999998
2024-03-27,38,99864.79,150.41114,31.717952,118.693188
2024-03-28,13,35323.72,227.85100799999998,9.059229,218.791779
2024-03-29,15,86914.37,883.097404,30.420029999999997,852.677374
2024-03-30,45,101103.92,1100.57514,9.939454,1090.635686
2024-03-31,13,39912.96,912.786145,13.969522000000001,898.8166229999999
2024-04-01,77,339470.47,2507.963406,83.751362,2424.212044
2024-04-02,41,239664.50999999998,883.760812,80.13257399999999,803.628238
2024-04-03,4,16887.57,126.7884,1.661201,125.12719899999999
2024-04-04,32,95987.73,0.0,33.595684999999996,-33.595684999999996
2024-04-05,100,503791.8,10706.484306,103.430138,10603.054168
2024-04-06,16,68223.67,236.33513399999998,23.878277,212.45685699999999
2024-04-07,23,49988.14,0.0,17.495845,-17.495845
2024-04-08,30,211940.64,1218.4267,61.790548,1156.636152
2024-04-09,3,57063.840000000004,0.0,19.972341,-19.972341
2024-04-10,41,351735.97,5207.443414,123.107562,5084.335852
2024-04-11,16,76400.96,389.743164,26.740329,363.002835
2024-04-12,129,442088.59,-592.6458390000001,97.560875,-690.206714
2024-04-13,89,486411.25,6621.451755,118.999176,6502.452579000001
2024-04-14,107,659162.17,-36104.012520000004,213.477404,-36317.489924
2024-04-15,41,291111.19,3774.08872,40.650603999999994,3733.438116
2024-04-16,47,181907.17,2467.702221,18.457685,2449.244536
2024-04-17,14,97562.99,2441.4683999999997,10.620963,2430.8474370000004
2024-04-19,35,337257.92000000004,1946.4454620000001,118.04025999999999,1828.4052020000001
2024-04-20,22,60733.24,0.0,121.289047,-121.289047
2024-04-22,9,47993.61,0.0,16.797764,-16.797764
2024-04-23,66,233054.9,1119.536196,71.308476,1048.2277199999999
2024-04-24,20,141275.24,279.185907,49.446315999999996,229.73959100000002
2024-04-25,74,120241.01,0.0,160.159512,-160.159512
2024-04-26,3,4988.290000000001,0.0,1.745898,-1.745898
2024-04-27,27,154264.47,4281.488139,53.99255,4227.495589
2024-04-28,58,43985.6,0.0,15.394946,-15.394946
2024-04-29,45,108699.01,526.9338359999999,38.04463,488.889206
2024-04-30,24,125018.75,0.0,43.75655,-43.75655
2024-05-01,14,87025.45,0.0,30.458908,-30.458908
2024-05-03,36,282682.64999999997,5306.017045,98.910681,5207.106364
2024-05-04,9,58998.75,0.0,20.649559,-20.649559
2024-05-05,6,24068.350000000002,0.916,8.412778,-7.496778
2024-05-06,9,206016.43,968.59038,72.105746,896.484634
2024-05-07,18,108717.58,883.537693,38.039061,845.4986319999999
2024-05-08,13,65973.57,1.56576,23.076826,-21.511066
2024-05-09,28,221966.12,1147.595856,77.688132,1069.9077240000001
2024-05-10,22,156882.0,2101.741695,54.90869,2046.833005
2024-05-11,9,63248.95,251.604742,22.137125,229.46761700000002
2024-05-12,23,55179.56,0.0,19.312829,-19.312829
2024-05-13,28,193118.9,2136.853859,67.591599,2069.26226
2024-05-14,23,145853.4,1150.5233050000002,51.048685,1099.4746200000002
2024-05-15,36,234922.57,948.970582,82.222887,866.747695
2024-05-16,27,162620.96,214.5898,56.91732,157.67248
2024-05-18,25,126303.14,3522.3946610000003,44.206092,3478.188569
2024-05-19,8,29998.09,0.0,10.499327000000001,-10.499327000000001
2024-05-20,10,38124.75,-74.818442,13.343662,-88.162104
2024-05-21,125,1100948.59,7289.397571999999,385.331944,6904.065627999999
2024-05-22,6,44995.29,0.0,15.748349000000001,-15.748349000000001
2024-05-23,325,401850.6,413.347329,113.43007899999999,299.91725
2024-05-24,2,50811.899999999994,821.949278,17.784165,804.165113
2024-05-25,16,29991.129999999997,14.126038999999999,10.246887000000001,3.879151999999998
2024-05-26,16,53976.67,778.6839,18.768190999999998,759.915709
2024-05-27,251,151115.72,1129.35587,45.832466,1083.523404
2024-05-29,164,84268.76,277.791953,36.876599,240.915354
2024-05-30,7,2838.09,20.951433,0.993326,19.958107
2024-05-31,13,3636.14,25.35812,1.272646,24.085473999999998
2024-06-01,25,12834.62,91.510419,4.492106,87.018313
2024-06-02,93,29464.51,192.906947,7.792912,185.114035
2024-06-03,70,21466.86,562.808208,5.378086,557.430122
2024-06-04,53,24243.41,52.211438,7.432953,44.778485
2024-06-05,54,25350.77,56.055506,7.1040600000000005,48.951446000000004
2024-06-06,234,137557.76,274.173187,37.079424,237.093763
2024-06-07,440,1098588.76,8902.467416,372.962664,8529.504751999999
2024-06-08,29,97351.88,129.13883900000002,34.073137,95.065702
2024-06-09,17,22410.22,0.0,7.515775,-7.515775
2024-06-10,53,46587.93,31.266804999999998,14.696328000000001,16.570477
2024-06-11,123,373279.92,4320.631811,129.928213,4190.703598
2024-06-12,254,193407.96,-21886.531493,63.921417,-21950.45291
2024-06-13,79,132577.22,6632.757115,33.39975,6599.357365
2024-06-14,31,139868.66,10258.592609,38.954076,10219.638533
2024-06-15,78,718350.25,3369.958346,251.422549,3118.535797
2024-06-16,11,25235.079999999998,0.0,8.832277,-8.832277
2024-06-17,38,368380.12,10599.502375,128.93302500000001,10470.56935
2024-06-18,25,263314.79,282.57636,67.160258,215.416102
2024-06-19,61,417071.12,4887.656944,138.851743,4748.805201
2024-06-20,39,207990.8,57478.456026,13.46905,57464.986976
2024-06-21,80,176264.49,773.5582039999999,61.277099,712.281105
2024-06-22,24,169594.27000000002,756.876565,40.533382,716.343183
2024-06-23,5,1792.12,0.0,0.17921199999999998,-0.17921199999999998
2024-06-24,31,403002.8,0.0,103.551001,-103.551001
2024-06-25,49,103099.08,4869.353105,36.084651,4833.268454
2024-06-26,72,365190.66000000003,4197.732182,127.5543,4070.177882
