date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2024-01-22,85,2,10,337878.99,1375.640959,67.478268,1308.162691,0.27058823529411763,55.0,Greed,"(48.0, 67.0]"
2024-01-23,45,1,8,414518.93000000005,-369.2447299999998,85.72457,-454.96929999999986,0.24444444444444444,50.0,Neutral,"(48.0, 67.0]"
2024-01-24,68,1,4,965084.59,-2808.353815,227.771095,-3036.12491,0.14705882352941177,48.0,Neutral,"(9.999, 48.0]"
2024-01-25,6,1,1,66566.13,-3093.6293849999997,16.641532,-3110.270917,0.0,52.0,Neutral,"(48.0, 67.0]"
2024-01-26,5,2,2,11773.21,90.2,0.444235,89.755765,0.2,49.0,Neutral,"(48.0, 67.0]"
2024-01-28,11,1,1,18109.03,-2478.06972,-0.362176,-2477.707544,0.0,54.0,Neutral,"(48.0, 67.0]"
2024-01-29,74,2,11,414208.18,486.562542,103.26260500000001,383.299937,0.6081081081081081,55.0,Greed,"(48.0, 67.0]"
2024-01-30,49,1,2,401011.38,-173.65419100000003,100.25281,-273.90700100000004,0.10204081632653061,61.0,Greed,"(48.0, 67.0]"
2024-01-31,859,1,8,6305647.13,-799.840817,1549.411475,-2349.252292,0.2689173457508731,60.0,Greed,"(48.0, 67.0]"
2024-02-01,6,1,3,2008.18,0.0,0.5020439999999999,-0.5020439999999999,0.0,63.0,Greed,"(48.0, 67.0]"
2024-02-02,42,1,3,474278.43,456.423473,91.569636,364.853837,0.30952380952380953,63.0,Greed,"(48.0, 67.0]"
2024-02-03,56,1,3,603820.0,223.30918699999998,109.662349,113.64683800000003,0.10714285714285714,60.0,Greed,"(48.0, 67.0]"
2024-02-04,35,1,4,203187.53,47.62389499999999,50.52688,-2.9029850000000166,0.2571428571428571,60.0,Greed,"(48.0, 67.0]"
2024-02-05,72,1,4,770198.26,-33.45419400000003,165.549465,-199.00365900000008,0.19444444444444445,60.0,Greed,"(48.0, 67.0]"
2024-02-06,1088,1,5,8047153.41,-215.615907,988.606997,-1204.222904,0.1645220588235294,64.0,Greed,"(48.0, 67.0]"
2024-02-07,15,1,2,6758.73,241.24212,0.339693,240.902427,0.13333333333333333,62.0,Greed,"(48.0, 67.0]"
2024-02-08,10,1,5,26051.12,770.756024,3.0028870000000003,767.7531369999999,0.4,66.0,Greed,"(48.0, 67.0]"
