Coin,trades,active_days,volume_usd,gross_pnl,fees,net_pnl,net_pnl_per_1k_volume
IP,469,12,477338.87,3043.288104,60.948891,2982.339213,6.2478448759054555
COMP,95,3,113669.31,2814.398024,22.59069,2791.807334,24.56078368030914
ACE,25,2,72261.42,2760.71491,-1.445217,2762.160127,38.224548133706755
@59,46,11,24622.53,2557.105607,3.42914384,2553.67646316,103.71300037648447
MOVE,122,12,130978.56,2562.894536,19.355341,2543.539195,19.41950800955515
PROMPT,125,5,231701.51,2377.976177,37.779475,2340.196702,10.100049421343867
VVV,85,4,213572.86000000002,2212.897418,29.261099,2183.6363189999997,10.224315575490253
SAND,205,53,95828.66,2213.437927,32.424351,2181.013576,22.759512404744047
HPOS,125,25,74362.93,1979.33753,14.584517,1964.753013,26.421135006380197
HBAR,238,43,75989.03,1909.508064,24.054131,1885.453933,24.81218582471707
BIGTIME,51,5,117712.14,1838.5441700000001,8.266083,1830.2780870000001,15.548762319672381
OGN,258,1,58247.64,1752.668422,12.329002000000001,1740.33942,29.878282107223573
PYTH,149,13,419640.75,1824.119272,106.25753,1717.861742,4.093648536277756
APT,114,14,216136.03,1749.189965,38.682409,1710.507556,7.914032454468605
SCR,32,1,49793.18,1612.97536,17.427599999999998,1595.5477600000002,32.04349993312337
kFLOKI,35,6,37380.89,1607.436125,12.999206000000001,1594.436919,42.653797675764274
STX,128,8,173875.01,1583.885992,17.911187,1565.974805,9.00632474442417
NTRN,99,11,248372.3,1601.759155,38.152874,1563.6062809999999,6.295413300919628
WCT,47,1,58468.89,1531.72532,5.613056,1526.112264,26.101269649552098
W,592,22,306770.28,1593.757483,89.378912,1504.378571,4.903925409593132
MANTA,96,17,78103.9,1483.648906,1.796647,1481.852259,18.9728330979631
BADGER,190,11,153716.13999999998,1439.733233,26.619014,1413.114219,9.193011345457935
MKR,95,9,31634.96,1416.279513,5.240722,1411.038791,44.60377983724335
BIO,170,6,150146.37,1298.512254,17.831362,1280.680892,8.529549478951774
GRASS,201,26,156915.52,1253.272989,38.909302,1214.363687,7.738964807305231
XAI,8,2,64998.32,1074.213807,-0.21026599999999984,1074.4240730000001,16.53002836073302
YGG,37,13,53533.630000000005,1043.757286,7.607006,1036.15028,19.355128355764403
CAKE,58,7,38885.57,1022.846751,5.290676,1017.556075,26.16796089140522
BRETT,145,14,144922.78,958.287363,29.567062,928.720301,6.408380387127544
HYPER,31,2,119127.13,874.4737,18.802759000000002,855.670941,7.18283854399917
GMX,120,6,124024.95,699.433714,39.662501,659.771213,5.319665220586664
TRX,80,2,73744.58,670.1615039999999,19.918613999999998,650.24289,8.817500757343794
BLAST,59,9,22402.65,632.386224,7.188952,625.197272,27.90729096780961
POLYX,14,1,32669.5,618.133683,3.13626,614.9974229999999,18.824818959580032
MATIC,38,8,231562.53,668.931017,57.650151,611.280866,2.639809065827705
SUSHI,106,19,47324.92,605.441925,14.453028999999999,590.988896,12.487900581765379
IMX,53,19,11225.06,540.2160399999999,3.086106,537.129934,47.85096329106482
@1,34,15,3661.69,496.746238,0.59480175,496.15143625,135.4979357209376
DYDX,151,24,397233.48,539.164485,131.676024,407.488461,1.025816003726574
PIXEL,23,3,34839.78,405.89459999999997,-0.69679,406.59139,11.670320248864947
MORPHO,40,4,69483.86,421.871013,21.126048,400.744965,5.767453981399421
@74,9,7,383.36,371.633249,0.413268,371.219981,968.3325881677797
@125,29,8,5731.41,370.264567,1.48692427,368.77764273,64.34326679298812
PEOPLE,2,2,1360.49,360.646005,0.340123,360.305882,264.83537695977185
INIT,31,1,49061.87,364.5007,10.835395,353.66530500000005,7.208557378673092
USTC,50,8,10848.34,346.69317,3.578297,343.11487300000005,31.6283295877526
UNI,61,28,44427.01,347.766005,14.66273,333.10327500000005,7.497764873215642
UNIBOT,4,2,2333.2599999999998,325.055769,0.583313,324.472456,139.0639945826869
GMT,104,25,66397.39,328.62974099999997,22.579527,306.050214,4.609371151486527
LDO,109,41,35277.39,306.921971,11.913036,295.008935,8.362549922202295
SHIA,5,2,1279.06,273.568643,0.31976,273.248883,213.63257626694605
@37,13,8,1850.98,298.859201,27.074796000000003,271.784405,146.83270753870923
kSHIB,36,14,83627.17,279.13726399999996,21.51942,257.61784400000005,3.0805519785017244
LOOM,5,2,1715.72,215.057055,0.525466,214.531589,125.03881111137017
FET,49,4,106291.12,229.1654,17.752245,211.413155,1.9890011037610669
ETC,5,4,1928.3799999999999,205.04848,0.482094,204.56638600000002,106.081989027059
AR,13,2,10309.88,203.38219999999998,0.557876,202.824324,19.672811322731206
MINA,8,1,12246.55,198.7045,0.21217700000000003,198.492323,16.20801964634938
CYBER,2,2,1191.71,191.5296,0.297926,191.231674,160.46829681717867
STG,7,2,10728.33,179.54376000000002,-0.214564,179.758324,16.755480489507683
GALA,41,14,19057.6,184.138024,6.670135,177.467889,9.312184587776006
